date,tp
01/02/2022,0.43945658
02/02/2022,0.2865551
03/02/2022,0.3073896
04/02/2022,0.49279398
05/02/2022,0.704906
06/02/2022,0.8852384
07/02/2022,1.3625406
08/02/2022,1.0271379
09/02/2022,0.6092944
10/02/2022,0.76476026
11/02/2022,0.56110597
12/02/2022,0.83948475
13/02/2022,0.6613582
14/02/2022,0.21821998
15/02/2022,0.6907237
16/02/2022,0.54906654
17/02/2022,0.71296394
18/02/2022,0.49400568
19/02/2022,0.09095572
20/02/2022,0.5795556
21/02/2022,0.3253511
22/02/2022,0.4448315
23/02/2022,0.40411747
24/02/2022,0.12112257
25/02/2022,0.23934385
26/02/2022,0.5111112
27/02/2022,0.4555799
28/02/2022,0.6690252
01/03/2022,0.65526587
02/03/2022,0.29094368
03/03/2022,0.31246546
04/03/2022,0.38172162
05/03/2022,0.2466277
06/03/2022,0.81768936
07/03/2022,0.5312145
08/03/2022,0.6933251
09/03/2022,1.2740599
10/03/2022,0.84397465
11/03/2022,0.5373652
12/03/2022,0.28265148
13/03/2022,0.25028464
14/03/2022,0.4786556
15/03/2022,0.5859824
16/03/2022,0.29059342
17/03/2022,0.0606285
18/03/2022,0.24989118
19/03/2022,0.41553718
20/03/2022,0.55727077
21/03/2022,0.39295122
22/03/2022,0.6903175
23/03/2022,0.26294672
24/03/2022,0.31945318
25/03/2022,0.10439837
26/03/2022,0.13642955
27/03/2022,0.26609743
28/03/2022,0.12006753
29/03/2022,0.089890465
30/03/2022,0.3344684
31/03/2022,0.46050486
01/04/2022,0.2988145
02/04/2022,0.27429911
03/04/2022,0.5510479
04/04/2022,0.15709646
05/04/2022,0.08116165
06/04/2022,0.11146213
07/04/2022,0.30137074
08/04/2022,0.08005267
09/04/2022,0.08085437
10/04/2022,0.052319076
11/04/2022,0.044089027
12/04/2022,0.016615108
13/04/2022,0.029202094
14/04/2022,0.005686308
15/04/2022,0.010489102
16/04/2022,0.059014603
17/04/2022,0.16591626
18/04/2022,0.40273777
19/04/2022,1.09783
20/04/2022,0.2493344
21/04/2022,0.3261216
22/04/2022,0.22150196
23/04/2022,0.31691927
24/04/2022,0.36153382
25/04/2022,0.117536396
26/04/2022,0.18601948
27/04/2022,0.47328752
28/04/2022,0.07204622
29/04/2022,0.21217126
30/04/2022,0.40625197
01/05/2022,0.113164134
02/05/2022,0.00460544
03/05/2022,0.012506423
04/05/2022,0.058755822
05/05/2022,0.019215183
06/05/2022,0.10772326
07/05/2022,0.3272971
08/05/2022,0.7414111
09/05/2022,0.4253529
10/05/2022,0.64840925
11/05/2022,0.27522328
12/05/2022,0.25864008
13/05/2022,0.25996178
14/05/2022,0.11255726
15/05/2022,0.10055962
16/05/2022,0.072942734
17/05/2022,0.3041325
18/05/2022,0.71960914
19/05/2022,0.7484031
20/05/2022,0.9782295
21/05/2022,0.75692093
22/05/2022,0.049022857
23/05/2022,0.027973073
24/05/2022,0.33213967
25/05/2022,0.6493851
26/05/2022,0.97918105
27/05/2022,0.2129284
28/05/2022,0.01484165
29/05/2022,0.056822166
30/05/2022,0.024815414
31/05/2022,0.051948965
01/06/2022,0.1639337
02/06/2022,0.11432537
03/06/2022,0.03782761
04/06/2022,0.21811077
05/06/2022,0.5233114
06/06/2022,0.42125162
07/06/2022,0.050498307
08/06/2022,0.27887735
09/06/2022,0.25616768
10/06/2022,0.3285912
11/06/2022,0.23575674
12/06/2022,0.2720744
13/06/2022,0.47288576
14/06/2022,0.35865077
15/06/2022,0.7866173
16/06/2022,0.4743485
17/06/2022,0.22679707
18/06/2022,0.07766201
19/06/2022,0.17653091
20/06/2022,0.056968637
