date,t2m
01/07/2022,28.121452
02/07/2022,27.941082
03/07/2022,27.963678
04/07/2022,27.78576
05/07/2022,27.311777
06/07/2022,26.918892
07/07/2022,27.22196
08/07/2022,27.134584
09/07/2022,27.189333
10/07/2022,27.748161
11/07/2022,27.704185
12/07/2022,28.256102
13/07/2022,27.102535
14/07/2022,27.0815
15/07/2022,28.059883
16/07/2022,27.574835
17/07/2022,27.13116
18/07/2022,27.80103
19/07/2022,27.88198
20/07/2022,27.353964
21/07/2022,27.9488
22/07/2022,27.776619
23/07/2022,27.462275
24/07/2022,27.166006
25/07/2022,26.613956
26/07/2022,27.123491
27/07/2022,27.93299
28/07/2022,27.710173
29/07/2022,27.514318
30/07/2022,27.145372
31/07/2022,27.227303
01/08/2022,27.648447
02/08/2022,27.342407
03/08/2022,27.916754
04/08/2022,27.578094
05/08/2022,27.39383
06/08/2022,27.227207
07/08/2022,27.251978
08/08/2022,27.729536
09/08/2022,28.20517
10/08/2022,28.333807
11/08/2022,28.490292
12/08/2022,27.62621
13/08/2022,26.722513
14/08/2022,26.873796
15/08/2022,27.32632
16/08/2022,27.786058
17/08/2022,27.756998
18/08/2022,28.008785
19/08/2022,28.07036
20/08/2022,27.661238
21/08/2022,27.520628
22/08/2022,27.909286
23/08/2022,27.741411
24/08/2022,27.545982
25/08/2022,27.990404
26/08/2022,27.892656
27/08/2022,27.63267
28/08/2022,27.422537
29/08/2022,27.713455
30/08/2022,27.988518
31/08/2022,27.624704
01/09/2022,28.584848
02/09/2022,28.561941
03/09/2022,28.32213
04/09/2022,28.087757
05/09/2022,27.867266
06/09/2022,27.967665
07/09/2022,28.22717
08/09/2022,27.6367
09/09/2022,27.231041
10/09/2022,27.450346
11/09/2022,27.978224
12/09/2022,28.283585
13/09/2022,28.498623
14/09/2022,28.617105
15/09/2022,28.427456
16/09/2022,28.392735
17/09/2022,28.602169
18/09/2022,28.384333
19/09/2022,28.188751
20/09/2022,28.118338
21/09/2022,27.825214
22/09/2022,28.477993
23/09/2022,28.707027
24/09/2022,28.312473
25/09/2022,28.713802
26/09/2022,28.719456
27/09/2022,28.572805
28/09/2022,28.538052
29/09/2022,28.376217
30/09/2022,27.202662
01/10/2022,27.5132
02/10/2022,27.54831
03/10/2022,26.768963
04/10/2022,27.30866
05/10/2022,27.230402
06/10/2022,27.111101
